line_number,speaker,text,act,scene,scene_id,act_scene,neg,neu,pos,compound,vader_label,rolling_compound,rolling_intensity,rolling_volatility,weighted_compound,rolling_weighted,is_pos,is_neg,roll_pos_minus_neg,diff_vs_play_w21,diff_vs_play_w11,volatility
18,Malcolm,"Who, like a good and hardy soldier, fought",1,2,2,"Act 1, Scene 2",0.16,0.278,0.562,0.7003,pos,0.26758571428571426,0.37107500000000004,0.42984084942375284,0.49042009000000003,0.18519509857142857,1,0,0.2857142857142857,0.24496666666666664,0.20828571428571424,
19,Malcolm,"’Gainst my captivity.—Hail, brave friend!",1,2,2,"Act 1, Scene 2",0.0,0.303,0.697,0.784,pos,0.2341375,0.30718,0.4174963448941799,0.6146560000000001,0.16204571125,1,0,0.25,0.18967083333333334,0.2241375,
20,Malcolm,Say to the King the knowledge of the broil,1,2,2,"Act 1, Scene 2",0.0,1.0,0.0,0.0,neu,0.14152222222222222,0.39526000000000006,0.3872951355232854,0.0,0.10412059222222221,0,0,0.1111111111111111,0.13017936507936506,0.06255858585858586,
21,Malcolm,As thou didst leave it.,1,2,2,"Act 1, Scene 2",0.231,0.769,0.0,-0.0516,neg,0.12737,0.25520000000000004,0.36612113842279037,-0.00266256,0.093708533,0,1,0.09999999999999998,0.08409857142857144,0.09482454545454547,
22,Captain,"Doubtful it stood,",1,2,2,"Act 1, Scene 2",0.545,0.455,0.0,-0.34,neg,-0.1791166666666667,0.29410000000000003,0.2740482256829991,-0.11560000000000002,-0.09485840166666669,0,1,-0.33333333333333337,-0.22238809523809527,-0.21166212121212125,
23,Captain,As two spent swimmers that do cling together,1,2,2,"Act 1, Scene 2",0.0,1.0,0.0,0.0,neu,-0.15352857142857146,0.30012500000000003,0.3792045742955465,0.0,-0.08130720142857144,0,0,-0.2857142857142857,-0.1492857142857143,-0.186074025974026,
24,Captain,And choke their art. The merciless Macdonwald,1,2,2,"Act 1, Scene 2",0.368,0.632,0.0,-0.5423,neg,-0.07698750000000003,0.34222,0.3676468658917141,-0.29408929,-0.044831621250000016,0,1,-0.125,-0.08994464285714288,-0.08757840909090912,
25,Captain,"(Worthy to be a rebel, for to that",1,2,2,"Act 1, Scene 2",0.152,0.571,0.276,0.3182,pos,-0.14572222222222223,0.27422,0.37016755395361167,0.10125123999999999,-0.09361248111111113,1,0,-0.2222222222222222,-0.17965079365079364,-0.02180404040404041,
26,Captain,The multiplying villainies of nature,1,2,2,"Act 1, Scene 2",0.452,0.548,0.0,-0.5106,neg,-0.06410000000000002,0.27422,0.37016755395361167,-0.26071236000000003,-0.03929420800000001,0,1,-0.10000000000000003,-0.09313809523809526,-0.0011363636363636576,
27,Captain,Do swarm upon him) from the Western Isles,1,2,2,"Act 1, Scene 2",0.0,1.0,0.0,0.0,neu,-0.058272727272727295,0.25751999999999997,0.3735864183826816,0.0,-0.035722007272727285,0,0,-0.09090909090909094,-0.08731082251082253,-2.0816681711721685e-17,
28,Captain,Of kerns and gallowglasses is supplied;,1,2,2,"Act 1, Scene 2",0.0,1.0,0.0,0.0,neu,-0.06740000000000003,0.333,0.4591698509266478,0.0,-0.04284493090909092,0,0,-0.09090909090909094,-0.09154761904761907,-2.7755575615628914e-17,
29,Captain,"And Fortune, on his damnèd quarrel smiling,",1,2,2,"Act 1, Scene 2",0.0,0.667,0.333,0.4588,pos,-0.03456363636363638,0.36497999999999997,0.5259058642000486,0.21049743999999998,-0.03098443636363637,1,0,0.0,-0.04882077922077924,-2.0816681711721685e-17,
30,Captain,Showed like a rebel’s whore. But all’s too weak;,1,2,2,"Act 1, Scene 2",0.456,0.421,0.123,-0.6956,neg,0.014736363636363619,0.36497999999999997,0.5259058642000486,-0.48385936,-0.004249046363636372,0,1,0.09090909090909094,0.037812554112554096,-1.9081958235744878e-17,
