line_number,speaker,text,act,scene,scene_id,act_scene,neg,neu,pos,compound,vader_label,rolling_compound,rolling_intensity,rolling_volatility,speech_id,weighted_compound,rolling_weighted,is_pos,is_neg,roll_pos_minus_neg,diff_vs_play_w21,diff_vs_play_w11,rolling_within_speech
1033,First Murderer,"It was, so please your Highness.",3,1,12,"Act 3, Scene 1",0.0,0.626,0.374,0.4572,pos,-0.005416666666666671,0.1524,0.26396454307349687,0,0.20903184,-0.045937375,1,0,0.16666666666666666,-0.1307119047619048,-0.18527121212121211,0.4572
1046,First Murderer,You made it known to us.,3,1,12,"Act 3, Scene 1",0.0,1.0,0.0,0.0,neu,-0.004642857142857147,0.1143,0.22859999999999997,1,0.0,-0.03937489285714286,0,0,0.14285714285714285,-0.0905714285714286,-0.0509064935064935,0.0
1054,First Murderer,"We are men, my liege.",3,1,12,"Act 3, Scene 1",0.0,1.0,0.0,0.0,neu,0.048624999999999995,0.23938,0.43018213584480697,2,0.0,-0.012245250000000003,0,0,0.25,-0.03447500000000004,-0.06322954545454545,0.0
1077,First Murderer,And I another,3,1,12,"Act 3, Scene 1",0.0,1.0,0.0,0.0,neu,0.04322222222222222,0.19794,0.37473152789697317,3,0.0,-0.01088466666666667,0,0,0.2222222222222222,0.14556031746031742,0.3116767676767677,0.0
1078,First Murderer,"So weary with disasters, tugged with fortune,",3,1,12,"Act 3, Scene 1",0.556,0.444,0.0,-0.7397,neg,0.05669,0.19794,0.37473152789697317,3,-0.54715609,-0.006631359000000002,0,1,0.30000000000000004,0.18329476190476188,0.2821354545454546,-0.36985
1079,First Murderer,"That I would set my life on any chance,",3,1,12,"Act 3, Scene 1",0.0,0.8,0.2,0.25,pos,0.08985454545454545,0.28224,0.4433926284908219,3,0.0625,0.010122605454545451,1,0,0.36363636363636365,0.1861307359307359,0.3553363636363637,-0.16323333333333334
1080,First Murderer,To mend it or be rid on ’t.,3,1,12,"Act 3, Scene 1",0.0,1.0,0.0,0.0,neu,0.04829090909090908,0.28224,0.4433926284908219,3,0.0,-0.008880289090909092,0,0,0.2727272727272727,0.09907186147186142,0.25696363636363634,-0.16323333333333334
1083,First Murderer,"True, my lord.",3,1,12,"Act 3, Scene 1",0.0,0.417,0.583,0.4215,pos,0.04829090909090908,0.16987999999999998,0.17854592406437056,4,0.17766225,-0.008880289090909092,1,0,0.2727272727272727,0.11892900432900427,0.14382727272727275,0.4215
1097,First Murderer,Though our lives—,3,1,12,"Act 3, Scene 1",0.0,1.0,0.0,0.0,neu,0.04829090909090908,0.20417999999999997,0.21126141862630757,5,0.0,-0.008880289090909092,0,0,0.2727272727272727,-0.01708051948051953,-0.061599999999999974,0.0
1111,First Murderer,"We are resolved, my lord.",3,1,12,"Act 3, Scene 1",0.0,0.702,0.298,0.1779,pos,0.09617272727272726,0.20417999999999997,0.21126141862630754,6,0.03164841,0.01633906454545454,1,0,0.36363636363636365,0.003191774891774843,-0.023718181818181805,0.1779
1178,First Murderer,But who did bid thee join with us?,3,3,14,"Act 3, Scene 3",0.0,0.714,0.286,0.4215,pos,0.1634181818181818,0.11987999999999999,0.18537434288487703,7,0.17766225,0.06608052727272727,1,0,0.45454545454545453,0.09276580086580082,0.1668090909090909,0.4215
1183,First Murderer,Then stand with us.—,3,3,14,"Act 3, Scene 3",0.0,1.0,0.0,0.0,neu,0.1406909090909091,0.11987999999999999,0.18537434288487703,8,0.0,0.06039870909090908,0,0,0.36363636363636365,0.11738614718614715,0.05449090909090912,0.0
1184,First Murderer,The west yet glimmers with some streaks of day.,3,3,14,"Act 3, Scene 3",0.0,1.0,0.0,0.0,neu,0.1406909090909091,0.18963999999999998,0.26232541432350764,8,0.0,0.06039870909090908,0,0,0.36363636363636365,0.11738614718614715,0.09280909090909092,0.0
1185,First Murderer,Now spurs the lated traveler apace,3,3,14,"Act 3, Scene 3",0.0,1.0,0.0,0.0,neu,0.10237272727272727,0.10533999999999999,0.23554740074982777,8,0.0,0.044247595454545444,0,0,0.2727272727272727,0.07906796536796534,0.05449090909090911,0.0
1186,First Murderer,"To gain the timely inn, and near approaches",3,3,14,"Act 3, Scene 3",0.0,0.673,0.327,0.5267,pos,0.10237272727272727,0.10533999999999999,0.23554740074982777,8,0.27741288999999997,0.044247595454545444,1,0,0.2727272727272727,0.07906796536796534,0.05449090909090911,0.17556666666666665
1187,First Murderer,The subject of our watch.,3,3,14,"Act 3, Scene 3",0.0,1.0,0.0,0.0,neu,0.11103636363636364,0.10533999999999999,0.23554740074982777,8,0.0,0.04815576181818181,0,0,0.2727272727272727,0.06588398268398266,0.06315454545454549,0.17556666666666665
1193,First Murderer,His horses go about.,3,3,14,"Act 3, Scene 3",0.0,1.0,0.0,0.0,neu,0.0727181818181818,0.10533999999999999,0.23554740074982777,9,0.0,0.03200464818181817,0,0,0.18181818181818182,0.021927705627705588,0.0727181818181818,0.0
1199,First Murderer,Stand to ’t.,3,3,14,"Act 3, Scene 3",0.0,1.0,0.0,0.0,neu,0.047881818181818164,0.0,0.0,10,0.0,0.02521935363636363,0,0,0.09090909090909091,0.007296103896103849,0.010436363636363633,0.0
1201,First Murderer,Let it come down!,3,3,14,"Act 3, Scene 3",0.0,1.0,0.0,0.0,neu,0.04788181818181818,0.05464,0.1221787542905884,11,0.0,0.02521935363636363,0,0,0.09090909090909091,-0.005713419913419948,0.010436363636363646,0.0
1205,First Murderer,Was ’t not the way?,3,3,14,"Act 3, Scene 3",0.0,1.0,0.0,0.0,neu,0.11154545454545453,0.05464,0.1221787542905884,12,0.0,0.06980299818181818,0,0,0.1818181818181818,-0.0010593073593073987,0.009227272727272737,0.0
1210,First Murderer,"Well, let’s away and say how much is done.",3,3,14,"Act 3, Scene 3",0.0,0.792,0.208,0.2732,pos,0.06366363636363637,0.10928,0.1931815726201647,13,0.07463824,0.04458364454545454,1,0,0.09090909090909091,-0.18971255411255417,-0.11386363636363636,0.2732
1225,First Murderer,’Tis Banquo’s then.,3,4,15,"Act 3, Scene 4",0.0,1.0,0.0,0.0,neu,0.009172727272727272,0.10928,0.1931815726201647,14,0.0,0.011921793636363627,0,0,0.0,-0.2790415584415584,-0.2146090909090909,0.0
1228,First Murderer,"My lord, his throat is cut. That I did for him.",3,4,15,"Act 3, Scene 4",0.174,0.826,0.0,-0.2732,neg,0.010089999999999998,0.24934000000000003,0.36797165379958274,15,-0.07463824,0.01311397299999999,0,1,0.0,-0.2448433333333334,-0.18980999999999998,-0.2732
1232,First Murderer,"Most royal sir, Fleance is ’scaped.",3,4,15,"Act 3, Scene 4",0.0,1.0,0.0,0.0,neu,0.01121111111111111,0.1947,0.36351597213877684,16,0.0,0.014571081111111099,0,0,0.0,-0.13421746031746035,-0.1648252525252525,0.0
1238,First Murderer,"Ay, my good lord. Safe in a ditch he bides,",3,4,15,"Act 3, Scene 4",0.0,0.58,0.42,0.7003,pos,0.012612499999999999,0.31458,0.47916626342012014,17,0.49042009000000003,0.016392466249999987,1,0,0.0,-0.0520494047619048,-0.08127840909090907,0.7003
1239,First Murderer,"With twenty trenchèd gashes on his head,",3,4,15,"Act 3, Scene 4",0.0,1.0,0.0,0.0,neu,0.014414285714285713,0.324925,0.5313991743501302,17,0.0,0.018734247142857128,0,0,0.0,-0.10144761904761908,0.01425974025974028,0.35015
1240,First Murderer,The least a death to nature.,3,4,15,"Act 3, Scene 4",0.438,0.562,0.0,-0.5994,neg,-0.028716666666666668,0.43323333333333336,0.6505024391447992,17,-0.3592803600000001,0.009416914999999984,0,1,-0.16666666666666666,-0.11425000000000003,-0.0288712121212121,0.03363333333333333
